persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,elapsed_time
novice,meatboy,9,Stuck,1,0,-11.99,0.052,"[(137.0, 397.0), (111.8, 403.3), (73.0, 403.0), (73.0, 403.9), (73.0, 403.3), (73.0, 403.0), (73.0, 403.9), (73.0, 403.3), (73.0, 403.0), (73.0, 403.9), (73.0, 403.3), (73.0, 403.0), (73.0, 403.9), (73.0, 403.3), (73.0, 403.0), (73.0, 403.9), (73.0, 403.3), (73.0, 403.0), (73.0, 403.9), (73.0, 403.3), (73.0, 403.0), (73.0, 403.9), (73.0, 403.3), (73.0, 403.0), (73.0, 403.9), (73.0, 403.3), (73.0, 403.0), (73.0, 403.9), (73.0, 403.3), (73.0, 403.0), (73.0, 403.9), (73.0, 403.3), (73.0, 403.0), (73.0, 403.9), (73.0, 403.3), (73.0, 403.0), (73.0, 403.9), (73.0, 403.3)]",0,5.02
novice,meatboy,9,Stuck,16,0,25.94,0.196,"[(137.0, 397.0), (125.0, 388.1), (117.4, 354.3), (90.9, 354.3), (100.4, 348.3), (206.2, 286.2), (297.0, 243.1), (344.1, 218.7), (345.0, 213.2), (308.4, 226.6), (268.4, 258.8), (228.4, 309.8), (188.4, 379.7), (163.9, 376.6), (132.0, 372.0), (93.4, 386.1), (73.0, 388.2), (78.8, 339.5), (104.0, 297.3), (175.8, 237.6), (203.6, 196.8), (185.2, 175.1), (145.2, 172.8), (106.6, 189.3), (73.7, 224.7), (154.2, 157.9), (209.6, 110.0), (247.3, 81.0), (283.0, 83.2), (285.4, 107.9), (249.4, 151.5), (209.4, 213.9), (169.4, 295.2), (129.4, 395.3), (104.9, 377.5), (94.9, 372.8), (84.9, 387.0), (78.8, 388.2), (81.5, 354.4), (73.7, 354.4), (180.1, 287.7), (268.4, 239.8), (311.8, 210.8), (308.9, 200.6)]",0,5.85
novice,meatboy,9,Saw,3,0,216.33,0.394,"[(137.0, 397.0), (162.2, 399.1), (202.2, 394.4), (242.2, 403.3), (282.2, 403.0), (322.2, 403.9), (362.2, 403.3), (402.2, 403.0), (439.0, 403.9), (439.0, 403.3), (439.0, 403.0), (439.0, 403.9), (446.2, 403.3), (484.2, 403.0), (524.2, 403.9)]",0,1.97
novice,meatboy,9,Stuck,1,0,-11.99,0.052,"[(137.0, 397.0), (111.8, 403.3), (73.0, 396.2), (73.0, 372.8), (73.0, 377.6), (73.0, 401.1), (73.0, 403.3), (73.0, 403.0), (73.0, 403.9), (73.0, 403.3), (73.0, 403.0), (73.0, 403.9), (73.0, 403.3), (73.0, 403.0), (73.0, 403.9), (73.0, 403.3), (73.0, 403.0), (73.0, 403.9), (73.0, 403.3), (73.0, 403.0), (73.0, 403.9), (73.0, 403.3), (73.0, 403.0), (73.0, 403.9), (73.0, 403.3), (73.0, 403.0), (73.0, 403.9), (73.0, 403.3), (73.0, 403.0), (73.0, 403.9), (73.0, 403.3), (73.0, 403.0), (73.0, 403.9), (73.0, 403.3), (73.0, 403.0), (73.0, 403.9), (73.0, 403.3), (73.0, 403.0)]",0,5.02
novice,meatboy,9,Stuck,0,0,-1.3,0.093,"[(137.0, 397.0), (130.5, 403.3), (130.5, 403.0), (130.5, 403.9), (130.5, 403.3), (130.5, 403.0), (130.5, 403.9), (130.5, 403.3), (130.5, 403.0), (130.5, 403.9), (130.5, 403.3), (130.5, 403.0), (130.5, 403.9), (130.5, 403.3), (130.5, 403.0), (130.5, 403.9), (130.5, 403.3), (130.5, 403.0), (130.5, 403.9), (130.5, 403.3), (130.5, 403.0), (130.5, 403.9), (130.5, 403.3), (130.5, 403.0), (130.5, 403.9), (130.5, 403.3), (130.5, 403.0), (130.5, 403.9), (130.5, 403.3), (130.5, 403.0), (130.5, 403.9), (130.5, 403.3), (130.5, 403.0), (130.5, 403.9), (130.5, 403.3), (130.5, 403.0), (130.5, 403.9), (130.5, 403.3)]",0,5.02
novice,meatboy,9,Stuck,1,0,-11.88,0.052,"[(137.0, 397.0), (121.1, 403.3), (82.4, 356.1), (73.0, 336.3), (73.0, 341.1), (73.0, 364.6), (73.0, 403.1), (73.0, 403.3), (73.0, 403.0), (73.0, 403.9), (73.0, 403.3), (73.0, 403.0), (73.0, 403.9), (73.0, 403.3), (73.0, 403.0), (73.0, 403.9), (73.0, 403.3), (73.0, 403.0), (73.0, 403.9), (73.0, 403.3), (73.0, 403.0), (73.0, 403.9), (73.0, 403.3), (73.0, 403.0), (73.0, 403.9), (73.0, 403.3), (73.0, 403.0), (73.0, 403.9), (73.0, 403.3), (73.0, 403.0), (73.0, 403.9), (73.0, 403.3), (73.0, 403.0), (73.0, 403.9), (73.0, 403.3), (73.0, 403.0), (73.0, 403.9), (73.0, 403.3)]",0,5.02
novice,meatboy,9,Stuck,5,0,34.03,0.252,"[(137.0, 397.0), (159.6, 403.3), (183.6, 403.0), (198.7, 403.9), (211.8, 403.3), (241.2, 403.0), (281.2, 403.9), (321.2, 403.3), (358.1, 403.0), (385.2, 403.9), (403.4, 395.3), (439.4, 385.9), (358.9, 358.6), (313.8, 363.4), (314.9, 386.9), (349.6, 403.3), (354.8, 403.0), (354.8, 403.9), (354.8, 403.3), (354.8, 403.0), (354.8, 403.9), (354.8, 403.3), (354.8, 403.0), (354.8, 403.9), (354.8, 403.3), (354.8, 403.0), (354.8, 403.9), (354.8, 403.3), (354.8, 403.0), (354.8, 403.9), (354.8, 403.3), (354.8, 403.0), (354.8, 403.9), (354.8, 403.3), (354.8, 403.0), (354.8, 403.9), (354.8, 403.3), (354.8, 403.0), (354.8, 403.9), (354.8, 403.3), (354.8, 403.0), (354.8, 403.9), (354.8, 403.3), (354.8, 403.0), (354.8, 403.9), (354.8, 403.3), (354.8, 403.0), (354.8, 403.9), (354.8, 403.3)]",0,6.4
novice,meatboy,9,Stuck,1,0,-12.24,0.052,"[(137.0, 397.0), (122.1, 388.1), (95.6, 339.4), (73.0, 312.8), (73.0, 310.5), (73.0, 327.0), (73.0, 361.6), (73.0, 401.3), (73.0, 403.3), (73.0, 403.0), (73.0, 403.9), (73.0, 403.3), (73.0, 403.0), (73.0, 403.9), (73.0, 403.3), (73.0, 403.0), (73.0, 403.9), (73.0, 403.3), (73.0, 403.0), (73.0, 403.9), (73.0, 403.3), (73.0, 403.0), (73.0, 403.9), (73.0, 403.3), (73.0, 403.0), (73.0, 403.9), (73.0, 403.3), (73.0, 403.0), (73.0, 403.9), (73.0, 403.3), (73.0, 403.0), (73.0, 403.9), (73.0, 403.3), (73.0, 403.0), (73.0, 403.9), (73.0, 403.3), (73.0, 403.0), (73.0, 403.9)]",0,5.02
novice,meatboy,9,Saw,1,0,216.33,0.394,"[(137.0, 397.0), (162.2, 403.3), (202.2, 403.0), (242.2, 403.9), (282.2, 403.3), (322.2, 403.0), (362.2, 403.9), (402.2, 403.3), (439.0, 403.0), (439.0, 403.9), (439.0, 403.3), (439.0, 403.0), (446.2, 403.9), (484.2, 403.3), (524.2, 403.0)]",0,1.97
novice,meatboy,9,Stuck,73,0,-4.49,0.081,"[(137.0, 397.0), (130.8, 399.1), (119.7, 394.4), (116.8, 403.3), (107.9, 386.3), (107.6, 393.4), (104.6, 389.6), (99.8, 387.2), (100.9, 403.7), (103.8, 394.3), (106.6, 403.8), (109.5, 394.4), (112.4, 403.8), (103.6, 394.4), (103.2, 403.9), (100.3, 386.9), (96.4, 394.0), (90.3, 389.6), (86.2, 387.2), (88.3, 403.7), (85.3, 386.8), (87.5, 393.9), (90.4, 395.9), (93.3, 396.0), (96.1, 396.0), (99.0, 396.0), (94.7, 396.0), (90.6, 396.1), (88.8, 389.7), (89.8, 387.4), (92.6, 403.9), (83.8, 394.5), (83.4, 403.9), (80.5, 387.0), (83.4, 394.0), (79.0, 395.9), (74.9, 396.0), (73.1, 396.0)]",0,5.02
