episode,step,action_id,action,level,x,y,vx,vy,score,reward,event,cause,lives,coins
1,1,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,64.78,288.42,46.67,25.0,0,-0.0022,,,3,0
1,2,"4,0,1,0",RUN_RIGHT+JUMP,MM-Train1,66.33,292,93.33,0.0,0,0.0029,,,3,0
1,3,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,68.67,283.08,140.0,-535.0,0,-0.0044,,,3,0
1,4,"3,1,1,0",RIGHT+UP+JUMP,MM-Train1,71.78,274.58,186.67,-510.0,0,0.006,,,3,0
1,5,"3,1,1,0",RIGHT+UP+JUMP,MM-Train1,75.67,266.5,233.33,-485.0,0,0.0076,,,3,0
1,6,"3,1,1,0",RIGHT+UP+JUMP,MM-Train1,79.67,258.83,240.0,-460.0,0,0.0078,,,3,0
1,7,"3,1,1,0",RIGHT+UP+JUMP,MM-Train1,83.67,251.58,240.0,-435.0,0,-0.0011,,,3,0
1,8,"4,2,1,0",RUN_RIGHT+DOWN+JUMP,MM-Train1,88.44,244.75,286.67,-410.0,0,0.0094,,,3,0
1,9,"4,2,1,0",RUN_RIGHT+DOWN+JUMP,MM-Train1,93.78,238.33,320.0,-385.0,0,0.0105,,,3,0
1,10,"4,2,1,0",RUN_RIGHT+DOWN+JUMP,MM-Train1,99.11,232.33,320.0,-360.0,0,0.0163,,,3,0
1,11,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,104.44,226.75,320.0,-335.0,0,0.0105,,,3,0
1,12,"4,1,1,0",RUN_RIGHT+UP+JUMP,MM-Train1,109.78,221.58,320.0,-310.0,0,0.0056,,,3,0
1,13,"3,0,1,0",RIGHT+JUMP,MM-Train1,114.33,216.83,273.33,-285.0,0,0.0089,,,3,0
1,14,"3,1,1,0",RIGHT+UP+JUMP,MM-Train1,118.33,212.5,240.0,-260.0,0,0.0078,,,3,0
1,15,"3,0,1,0",RIGHT+JUMP,MM-Train1,122.33,208.58,240.0,-235.0,0,0.0078,,,3,0
1,16,"4,1,1,0",RUN_RIGHT+UP+JUMP,MM-Train1,127.11,205.08,286.67,-210.0,0,0.0094,,,3,0
1,17,"3,0,1,0",RIGHT+JUMP,MM-Train1,131.11,202.0,240.0,-185.0,0,0.0149,,,3,0
1,18,"4,2,1,0",RUN_RIGHT+DOWN+JUMP,MM-Train1,135.89,199.33,286.67,-160.0,0,0.0094,,,3,0
1,19,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,141.22,197.08,320.0,-135.0,0,0.0105,,,3,0
1,20,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,146.56,195.25,320.0,-110.0,0,0.0105,,,3,0
1,21,"4,1,1,0",RUN_RIGHT+UP+JUMP,MM-Train1,151.89,193.83,320.0,-85.0,0,0.0105,,,3,0
1,22,"4,0,1,0",RUN_RIGHT+JUMP,MM-Train1,157.22,192.83,320.0,-60.0,0,0.0105,,,3,0
1,23,"4,1,1,0",RUN_RIGHT+UP+JUMP,MM-Train1,162.56,192.25,320.0,-35.0,0,0.0176,,,3,0
1,24,"4,1,1,0",RUN_RIGHT+UP+JUMP,MM-Train1,167.89,192.08,320.0,-10.0,0,0.0105,,,3,0
1,25,"4,1,1,0",RUN_RIGHT+UP+JUMP,MM-Train1,173.22,192.33,320.0,15.0,0,0.0105,,,3,0
1,26,"4,1,1,0",RUN_RIGHT+UP+JUMP,MM-Train1,178.56,193.0,320.0,40.0,0,0.0105,,,3,0
1,27,"4,1,1,0",RUN_RIGHT+UP+JUMP,MM-Train1,183.89,194.08,320.0,65.0,0,0.0105,,,3,0
1,28,"4,1,1,0",RUN_RIGHT+UP+JUMP,MM-Train1,189.22,195.58,320.0,90.0,0,0.0105,,,3,0
1,29,"4,0,1,0",RUN_RIGHT+JUMP,MM-Train1,194.56,197.5,320.0,115.0,0,0.0176,,,3,0
1,30,"4,1,1,0",RUN_RIGHT+UP+JUMP,MM-Train1,199.89,199.83,320.0,140.0,0,0.0105,,,3,0
1,31,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,205.22,202.58,320.0,165.0,0,0.0105,,,3,0
1,32,"4,0,1,0",RUN_RIGHT+JUMP,MM-Train1,210.56,205.75,320.0,190.0,0,0.0105,,,3,0
1,33,"4,0,1,0",RUN_RIGHT+JUMP,MM-Train1,215.89,209.33,320.0,215.0,0,0.0105,,,3,0
1,34,"4,0,1,0",RUN_RIGHT+JUMP,MM-Train1,221.22,213.33,320.0,240.0,0,0.0105,,,3,0
1,35,"4,0,1,0",RUN_RIGHT+JUMP,MM-Train1,226.56,217.75,320.0,265.0,0,0.0176,,,3,0
1,36,"4,0,1,0",RUN_RIGHT+JUMP,MM-Train1,231.89,222.58,320.0,290.0,0,0.0105,,,3,0
1,37,"4,2,1,0",RUN_RIGHT+DOWN+JUMP,MM-Train1,237.22,227.83,320.0,315.0,0,0.0123,,,3,0
1,38,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,242.56,233.5,320.0,340.0,0,0.0105,,,3,0
1,39,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,247.89,239.58,320.0,365.0,0,0.0105,,,3,0
1,40,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,253.22,246.08,320.0,390.0,0,0.0105,,,3,0
1,41,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,258.56,253.0,320.0,415.0,0,0.0176,,,3,0
1,42,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,263.89,260.33,320.0,440.0,0,0.0158,,,3,0
1,43,"4,2,0,0",RUN_RIGHT+DOWN,MM-Train1,269.22,268.08,320.0,465.0,0,0.0105,,,3,0
1,44,"4,2,0,0",RUN_RIGHT+DOWN,MM-Train1,274.56,276.25,320.0,490.0,0,0.0105,,,3,0
1,45,"4,2,0,0",RUN_RIGHT+DOWN,MM-Train1,279.89,284.83,320.0,515.0,0,0.0105,,,3,0
1,46,"4,2,0,0",RUN_RIGHT+DOWN,MM-Train1,285.22,292,320.0,0.0,0,0.0194,,,3,0
1,47,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,290.56,283.08,320.0,-535.0,0,0.0074,,,3,0
1,48,"4,2,1,0",RUN_RIGHT+DOWN+JUMP,MM-Train1,295.89,274.58,320.0,-510.0,0,0.0105,,,3,0
1,49,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,301.22,266.5,320.0,-485.0,0,0.0105,,,3,0
1,50,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,306.56,258.83,320.0,-460.0,0,0.0105,,,3,0
1,51,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,311.89,251.58,320.0,-435.0,0,0.0064,,,3,0
1,52,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,317.22,244.75,320.0,-410.0,0,0.0105,,,3,0
1,53,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,322.56,238.33,320.0,-385.0,0,0.0176,,,3,0
1,54,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,327.89,232.33,320.0,-360.0,0,0.0105,,,3,0
1,55,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,333.22,226.75,320.0,-335.0,0,0.0105,,,3,0
1,56,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,338.56,221.58,320.0,-310.0,0,0.0086,,,3,0
1,57,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,343.89,216.83,320.0,-285.0,0,0.0105,,,3,0
1,58,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,349.22,212.5,320.0,-260.0,0,0.0105,,,3,0
1,59,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,354.56,208.58,320.0,-235.0,0,0.0176,,,3,0
1,60,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,359.89,205.08,320.0,-210.0,0,0.0105,,,3,0
1,61,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,365.22,202.0,320.0,-185.0,0,0.0105,,,3,0
1,62,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,370.56,199.33,320.0,-160.0,0,0.0105,,,3,0
1,63,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,375.89,197.08,320.0,-135.0,0,0.0105,,,3,0
1,64,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,381.22,195.25,320.0,-110.0,0,0.0105,,,3,0
1,65,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,386.56,193.83,320.0,-85.0,0,0.0176,,,3,0
1,66,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,391.89,192.83,320.0,-60.0,0,0.0105,,,3,0
1,67,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,397.22,192.25,320.0,-35.0,0,0.0105,,,3,0
1,68,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,402.56,192.08,320.0,-10.0,0,0.0105,,,3,0
1,69,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,407.89,192.33,320.0,15.0,0,0.0105,,,3,0
1,70,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,413.22,193.0,320.0,40.0,0,0.0105,,,3,0
1,71,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,418.56,194.08,320.0,65.0,0,0.0176,,,3,0
1,72,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,423.89,195.58,320.0,90.0,0,0.0105,,,3,0
1,73,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,429.22,197.5,320.0,115.0,0,0.0105,,,3,0
1,74,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,434.56,199.83,320.0,140.0,0,0.0105,,,3,0
1,75,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,439.89,202.58,320.0,165.0,0,0.0105,,,3,0
1,76,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,445.22,205.75,320.0,190.0,0,0.0105,,,3,0
1,77,"2,2,1,1",RUN_LEFT+DOWN+JUMP+FIRE,MM-Train1,449.78,209.33,273.33,215.0,0,0.016,,,3,0
1,78,"4,1,0,0",RUN_RIGHT+UP,MM-Train1,455.11,213.33,320.0,240.0,0,0.0105,,,3,0
1,79,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,460.44,217.75,320.0,265.0,0,0.0105,,,3,0
1,80,"2,2,0,1",RUN_LEFT+DOWN+FIRE,MM-Train1,465.0,222.58,273.33,290.0,0,0.0089,,,3,0
1,81,"4,1,0,0",RUN_RIGHT+UP,MM-Train1,470.33,227.83,320.0,315.0,0,0.0123,,,3,0
1,82,"4,2,0,1",RUN_RIGHT+DOWN+FIRE,MM-Train1,475.67,233.5,320.0,340.0,0,0.0105,,,3,0
1,83,"4,2,0,1",RUN_RIGHT+DOWN+FIRE,MM-Train1,481.0,239.58,320.0,365.0,0,0.0176,,,3,0
1,84,"2,2,0,1",RUN_LEFT+DOWN+FIRE,MM-Train1,485.56,246.08,273.33,390.0,0,0.0089,,,3,0
1,85,"4,2,0,1",RUN_RIGHT+DOWN+FIRE,MM-Train1,490.89,253.0,320.0,415.0,0,0.0105,,,3,0
1,86,"2,2,0,1",RUN_LEFT+DOWN+FIRE,MM-Train1,495.44,260.33,273.33,440.0,0,0.0108,,,3,0
1,87,"4,1,0,1",RUN_RIGHT+UP+FIRE,MM-Train1,500.78,268.08,320.0,465.0,0,0.0105,,,3,0
1,88,"4,2,0,1",RUN_RIGHT+DOWN+FIRE,MM-Train1,506.11,276.25,320.0,490.0,0,0.0105,,,3,0
1,89,"4,2,0,1",RUN_RIGHT+DOWN+FIRE,MM-Train1,511.44,284.83,320.0,515.0,0,0.0105,,,3,0
1,90,"4,2,0,1",RUN_RIGHT+DOWN+FIRE,MM-Train1,516.78,292,320.0,0.0,0,0.0195,,,3,0
1,91,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,522.11,283.08,320.0,-535.0,0,0.002,,,3,0
1,92,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,527.44,274.58,320.0,-510.0,0,0.0105,,,3,0
1,93,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,532.78,266.5,320.0,-485.0,0,0.0105,,,3,0
1,94,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,538.11,258.83,320.0,-460.0,0,0.0105,,,3,0
1,95,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,524,251.58,0.0,-435.0,0,-0.0201,,,3,0
1,96,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,524.78,244.75,46.67,-410.0,0,0.0014,,,3,0
1,97,"3,1,1,1",RIGHT+UP+JUMP+FIRE,MM-Train1,524,238.33,0.0,-385.0,0,-0.0034,,,3,0
1,98,"3,1,1,1",RIGHT+UP+JUMP+FIRE,MM-Train1,524.78,232.33,46.67,-360.0,0,0.0014,,,3,0
1,99,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,524,226.75,0.0,-335.0,0,-0.0034,,,3,0
1,100,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,524.78,221.58,46.67,-310.0,0,-0.0005,,,3,0
1,101,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,524,216.83,0.0,-285.0,0,-0.0034,,,3,0
1,102,"3,1,1,1",RIGHT+UP+JUMP+FIRE,MM-Train1,524.78,212.5,46.67,-260.0,0,0.0014,,,3,0
1,103,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,524,208.58,0.0,-235.0,0,-0.0034,,,3,0
1,104,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,524.78,205.08,46.67,-210.0,0,0.0014,,,3,0
1,105,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,524,202.0,0.0,-185.0,0,-0.0034,,,3,0
1,106,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,524.78,199.33,46.67,-160.0,0,0.0014,,,3,0
1,107,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,524,197.08,0.0,-135.0,0,-0.0034,,,3,0
1,108,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,524.78,195.25,46.67,-110.0,0,0.0014,,,3,0
1,109,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,526.33,193.83,93.33,-85.0,0,0.0029,,,3,0
1,110,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,528.67,192.83,140.0,-60.0,0,0.0045,,,3,0
1,111,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,531.78,192.25,186.67,-35.0,0,0.006,,,3,0
1,112,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,535.67,192.08,233.33,-10.0,0,0.0076,,,3,0
1,113,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,540.33,192.33,280.0,15.0,0,0.0091,,,3,0
1,114,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,545.67,193.0,320.0,40.0,0,0.0176,,,3,0
1,115,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,551.0,196,320.0,0.0,0,0.0105,,,3,0
1,116,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,556.33,187.08,320.0,-535.0,0,0.002,,,3,0
1,117,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,561.67,178.58,320.0,-510.0,0,0.0105,,,3,0
1,118,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,567.0,170.5,320.0,-485.0,0,0.0105,,,3,0
1,119,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,572.33,162.83,320.0,-460.0,0,0.0105,,,3,0
1,120,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,577.67,155.58,320.0,-435.0,0,0.0157,,,3,0
1,121,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,583.0,148.75,320.0,-410.0,0,0.0105,,,3,0
1,122,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,588.33,142.33,320.0,-385.0,0,0.0105,,,3,0
1,123,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,593.67,136.33,320.0,-360.0,0,0.0105,,,3,0
1,124,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,599.0,130.75,320.0,-335.0,0,0.0105,,,3,0
1,125,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,604.33,125.58,320.0,-310.0,0,0.0029,,,3,0
1,126,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,609.67,120.83,320.0,-285.0,0,0.0176,,,3,0
1,127,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,615.0,116.5,320.0,-260.0,0,0.0105,,,3,0
1,128,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,620.33,112.58,320.0,-235.0,0,0.0105,,,3,0
1,129,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,625.67,109.08,320.0,-210.0,0,0.0105,,,3,0
1,130,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,631.0,106.0,320.0,-185.0,0,0.0105,,,3,0
1,131,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,636.33,103.33,320.0,-160.0,0,0.0105,,,3,0
1,132,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,641.67,101.08,320.0,-135.0,0,0.0176,,,3,0
1,133,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,647.0,99.25,320.0,-110.0,0,0.0105,,,3,0
1,134,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,652.33,97.83,320.0,-85.0,0,0.0105,,,3,0
1,135,"4,1,1,0",RUN_RIGHT+UP+JUMP,MM-Train1,657.67,96.83,320.0,-60.0,0,0.0105,,,3,0
1,136,"4,1,1,0",RUN_RIGHT+UP+JUMP,MM-Train1,663.0,96.25,320.0,-35.0,0,0.0105,,,3,0
1,137,"4,1,1,0",RUN_RIGHT+UP+JUMP,MM-Train1,668.33,96.08,320.0,-10.0,0,0.0105,,,3,0
1,138,"4,1,1,0",RUN_RIGHT+UP+JUMP,MM-Train1,673.67,96.33,320.0,15.0,0,0.0176,,,3,0
1,139,"4,1,1,0",RUN_RIGHT+UP+JUMP,MM-Train1,679.0,97.0,320.0,40.0,0,0.0105,,,3,0
1,140,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,684.33,98.08,320.0,65.0,0,0.0105,,,3,0
1,141,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,689.67,99.58,320.0,90.0,0,0.0105,,,3,0
1,142,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,695.0,101.5,320.0,115.0,0,0.0105,,,3,0
1,143,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,700.33,103.83,320.0,140.0,0,0.0105,,,3,0
1,144,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,705.67,106.58,320.0,165.0,0,0.0163,,,3,0
1,145,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,711.0,109.75,320.0,190.0,0,0.0105,,,3,0
1,146,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,716.33,113.33,320.0,215.0,0,0.0105,,,3,0
1,147,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,721.67,117.33,320.0,240.0,0,0.0105,,,3,0
1,148,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,727.0,121.75,320.0,265.0,0,0.0105,,,3,0
1,149,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,732.33,126.58,320.0,290.0,0,0.0105,,,3,0
1,150,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,737.67,131.83,320.0,315.0,0,0.0265,,,3,0
1,151,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,743.0,137.5,320.0,340.0,0,0.0105,,,3,0
1,152,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,748.33,143.58,320.0,365.0,0,0.0105,,,3,0
1,153,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,753.67,150.08,320.0,390.0,0,0.0105,,,3,0
1,154,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,759.0,157.0,320.0,415.0,0,0.0105,,,3,0
1,155,"4,1,0,1",RUN_RIGHT+UP+FIRE,MM-Train1,764.33,164.33,320.0,440.0,0,0.0123,,,3,0
1,156,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,769.67,172.08,320.0,465.0,0,0.0176,,,3,0
1,157,"4,1,0,1",RUN_RIGHT+UP+FIRE,MM-Train1,775.0,180.25,320.0,490.0,0,0.0105,,,3,0
1,158,"4,1,0,1",RUN_RIGHT+UP+FIRE,MM-Train1,780.33,188.83,320.0,515.0,0,0.0105,,,3,0
1,159,"4,1,0,1",RUN_RIGHT+UP+FIRE,MM-Train1,785.67,197.83,320.0,540.0,0,0.0058,,,3,0
1,160,"1,2,0,1",LEFT+DOWN+FIRE,MM-Train1,790.22,207.25,273.33,565.0,0,0.0089,,,3,0
1,161,"1,1,0,1",LEFT+UP+FIRE,MM-Train1,794.0,217.08,226.67,590.0,0,0.0074,,,3,0
1,162,"4,1,0,1",RUN_RIGHT+UP+FIRE,MM-Train1,798.56,227.33,273.33,615.0,0,0.0042,,,3,0
1,163,"1,2,0,1",LEFT+DOWN+FIRE,MM-Train1,802.33,238.0,226.67,640.0,0,0.0088,,,3,0
1,164,"4,2,0,1",RUN_RIGHT+DOWN+FIRE,MM-Train1,806.89,249.08,273.33,665.0,0,0.0089,,,3,0
1,165,"4,2,0,1",RUN_RIGHT+DOWN+FIRE,MM-Train1,812.22,260.58,320.0,690.0,0,0.0123,,,3,0
1,166,"4,2,0,1",RUN_RIGHT+DOWN+FIRE,MM-Train1,817.56,272.5,320.0,715.0,0,0.0105,,,3,0
1,167,"4,2,0,1",RUN_RIGHT+DOWN+FIRE,MM-Train1,822.89,284.83,320.0,740.0,0,0.0105,,,3,0
1,168,"4,2,0,1",RUN_RIGHT+DOWN+FIRE,MM-Train1,828.22,292,320.0,0.0,0,0.0189,,,3,0
1,169,"4,2,0,0",RUN_RIGHT+DOWN,MM-Train1,833.56,292,320.0,0.0,0,0.0163,,,3,0
1,170,"4,2,0,1",RUN_RIGHT+DOWN+FIRE,MM-Train1,838.89,292,320.0,0.0,0,0.0105,,,3,0
1,171,"4,2,0,1",RUN_RIGHT+DOWN+FIRE,MM-Train1,844.22,292,320.0,0.0,0,0.0105,,,3,0
1,172,"4,2,0,1",RUN_RIGHT+DOWN+FIRE,MM-Train1,849.56,292,320.0,0.0,0,0.0105,,,3,0
1,173,"4,2,0,1",RUN_RIGHT+DOWN+FIRE,MM-Train1,854.89,292,320.0,0.0,0,0.0105,,,3,0
1,174,"4,2,1,1",RUN_RIGHT+DOWN+JUMP+FIRE,MM-Train1,860.22,283.08,320.0,-535.0,0,0.0033,,,3,0
1,175,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,865.56,274.58,320.0,-510.0,0,0.0176,,,3,0
1,176,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,870.89,266.5,320.0,-485.0,0,0.0105,,,3,0
1,177,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,876.22,258.83,320.0,-460.0,0,0.0105,,,3,0
1,178,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,881.56,251.58,320.0,-435.0,0,0.0086,,,3,0
1,179,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,886.89,244.75,320.0,-410.0,0,0.0105,,,3,0
1,180,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,892.22,238.33,320.0,-385.0,0,0.0105,,,3,0
1,181,"4,2,1,0",RUN_RIGHT+DOWN+JUMP,MM-Train1,897.56,232.33,320.0,-360.0,0,0.0176,,,3,0
1,182,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,902.89,226.75,320.0,-335.0,0,0.0105,,,3,0
1,183,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,908.22,221.58,320.0,-310.0,0,0.0086,,,3,0
1,184,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,913.56,216.83,320.0,-285.0,0,0.0105,,,3,0
1,185,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,918.89,212.5,320.0,-260.0,0,0.0105,,,3,0
1,186,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,924.22,208.58,320.0,-235.0,0,0.0105,,,3,0
1,187,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,929.56,205.08,320.0,-210.0,0,0.0176,,,3,0
1,188,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,934.89,202.0,320.0,-185.0,0,0.0105,,,3,0
1,189,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,940.22,199.33,320.0,-160.0,0,0.0105,,,3,0
1,190,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,945.56,197.08,320.0,-135.0,0,0.0105,,,3,0
1,191,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,950.89,195.25,320.0,-110.0,0,0.0105,,,3,0
1,192,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,956.22,193.83,320.0,-85.0,0,0.0105,,,3,0
1,193,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,961.56,192.83,320.0,-60.0,0,0.0176,,,3,0
1,194,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,966.89,192.25,320.0,-35.0,0,0.0105,,,3,0
1,195,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,972.22,192.08,320.0,-10.0,0,0.0105,,,3,0
1,196,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,977.56,192.33,320.0,15.0,0,0.0105,,,3,0
1,197,"4,1,1,1",RUN_RIGHT+UP+JUMP+FIRE,MM-Train1,982.89,193.0,320.0,40.0,0,0.0105,,,3,0
