persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,elapsed_time
speedrunner,bomberman,13,Bomb,1,0,-1.12,0.015,"[(48.0, 48.0), (45.2, 48.0), (45.2, 48.0), (45.2, 48.0), (45.2, 48.0), (45.2, 64.8), (45.2, 64.8), (45.2, 64.8), (45.2, 64.8), (45.2, 64.8), (45.2, 64.8), (45.2, 64.8), (45.2, 64.8), (45.2, 64.8), (45.2, 73.2), (45.2, 78.8), (45.2, 78.8), (45.2, 81.6), (45.2, 84.4)]",0,2.5
speedrunner,bomberman,13,Stuck,0,0,-0.55,0.015,"[(48.0, 48.0), (45.2, 70.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4)]",0,5.1
speedrunner,bomberman,13,Bomb,1,0,1.12,0.015,"[(48.0, 48.0), (45.2, 70.4), (50.8, 78.8), (50.8, 78.8), (50.8, 78.8), (50.8, 78.8), (50.8, 78.8), (50.8, 78.8), (50.8, 78.8), (50.8, 78.8), (50.8, 78.8), (50.8, 78.8), (50.8, 78.8), (50.8, 78.8), (50.8, 78.8), (50.8, 78.8), (50.8, 78.8), (50.8, 78.8), (50.8, 78.8)]",0,2.5
speedrunner,bomberman,13,Bomb,11,0,14.56,0.015,"[(48.0, 48.0), (70.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2)]",0,2.5
speedrunner,bomberman,13,Stuck,0,0,7.14,0.015,"[(48.0, 48.0), (70.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8)]",0,5.1
speedrunner,bomberman,13,Stuck,0,0,-0.56,0.0,"[(48.0, 48.0), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2), (45.2, 45.2)]",0,5.0
speedrunner,bomberman,13,Bomb,1,0,0.0,0.0,"[(48.0, 48.0), (48.0, 48.0), (48.0, 48.0), (48.0, 48.0), (48.0, 48.0), (48.0, 48.0), (48.0, 48.0), (48.0, 48.0), (48.0, 48.0), (48.0, 48.0), (48.0, 48.0), (48.0, 48.0), (48.0, 48.0), (48.0, 48.0), (48.0, 48.0), (48.0, 48.0), (48.0, 48.0), (48.0, 48.0), (48.0, 48.0)]",0,2.5
speedrunner,bomberman,13,Bomb,1,0,-1.11,0.015,"[(48.0, 48.0), (45.2, 48.0), (45.2, 48.0), (45.2, 48.0), (45.2, 48.0), (45.2, 48.0), (45.2, 59.2), (45.2, 64.8), (45.2, 64.8), (45.2, 64.8), (45.2, 64.8), (45.2, 64.8), (45.2, 64.8), (45.2, 64.8), (45.2, 64.8), (45.2, 64.8), (45.2, 64.8), (45.2, 78.8), (45.2, 78.8)]",0,2.52
speedrunner,bomberman,13,Stuck,0,0,7.14,0.015,"[(48.0, 48.0), (70.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2)]",0,5.1
speedrunner,bomberman,13,Bomb,1,0,14.56,0.015,"[(48.0, 48.0), (67.6, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 48.0), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8)]",0,2.5
speedrunner,bomberman,13,Bomb,1,0,14.56,0.015,"[(48.0, 48.0), (67.6, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 48.0), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8)]",0,2.5
speedrunner,bomberman,13,Stuck,0,0,7.14,0.015,"[(48.0, 48.0), (70.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2), (84.4, 45.2)]",0,5.1
speedrunner,bomberman,13,Bomb,1,0,-1.11,0.015,"[(48.0, 48.0), (45.2, 48.0), (45.2, 48.0), (45.2, 48.0), (45.2, 48.0), (45.2, 48.0), (45.2, 59.2), (45.2, 64.8), (45.2, 64.8), (45.2, 64.8), (45.2, 64.8), (45.2, 64.8), (45.2, 64.8), (45.2, 64.8), (45.2, 64.8), (45.2, 64.8), (45.2, 64.8), (45.2, 78.8), (45.2, 78.8)]",0,2.52
speedrunner,bomberman,13,Stuck,0,0,7.14,0.015,"[(48.0, 48.0), (70.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8), (84.4, 50.8)]",0,5.1
speedrunner,bomberman,13,Stuck,0,0,-0.55,0.015,"[(48.0, 48.0), (45.2, 70.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4), (45.2, 84.4)]",0,5.1
