persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,bricks_destroyed,elapsed_time
experienced,bomberman,4,Bomb,1,0,13.07,0.182,"[(48.0, 48.0), (62.9, 44.3), (77.9, 44.3), (92.8, 44.3), (107.7, 51.7), (122.7, 51.7), (137.6, 51.7), (158.1, 51.7), (174.9, 55.5), (180.5, 64.8), (180.5, 62.9), (180.5, 61.1), (180.5, 64.8), (180.5, 62.9), (180.5, 61.1), (180.5, 64.8), (180.5, 62.9), (180.5, 61.1), (180.5, 64.8), (180.5, 62.9), (180.5, 61.1), (180.5, 64.8), (180.5, 62.9), (180.5, 61.1), (180.5, 64.8), (180.5, 62.9), (180.5, 61.1), (180.5, 64.8), (180.5, 62.9), (180.5, 61.1), (180.5, 64.8), (180.5, 79.7), (180.5, 100.3), (186.1, 115.2), (201.1, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2)]",0,1,12.0
experienced,bomberman,4,Stuck,87,0,13.21,0.182,"[(48.0, 48.0), (62.9, 48.0), (77.9, 51.7), (92.8, 51.7), (107.7, 51.7), (122.7, 51.7), (137.6, 51.7), (158.1, 51.7), (174.9, 55.5), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9)]",0,0,9.47
experienced,bomberman,4,Stuck,0,0,19.76,0.182,"[(48.0, 48.0), (62.9, 48.0), (77.9, 51.7), (92.8, 51.7), (107.7, 44.3), (122.7, 44.3), (137.6, 51.7), (158.1, 51.7), (174.9, 55.5), (174.9, 70.4), (173.1, 85.3), (174.9, 94.7), (174.9, 94.7), (174.9, 94.7), (174.9, 94.7), (174.9, 94.7), (174.9, 94.7), (174.9, 94.7), (174.9, 94.7), (174.9, 94.7), (174.9, 94.7), (174.9, 94.7), (174.9, 94.7), (174.9, 94.7), (174.9, 94.7), (174.9, 94.7), (174.9, 94.7), (174.9, 94.7), (174.9, 94.7), (174.9, 94.7), (174.9, 94.7), (174.9, 94.7), (174.9, 94.7), (174.9, 94.7), (174.9, 94.7), (174.9, 94.7), (174.9, 94.7), (174.9, 94.7), (174.9, 94.7), (174.9, 94.7), (174.9, 94.7), (174.9, 94.7), (174.9, 94.7), (174.9, 94.7), (174.9, 94.7)]",0,0,5.95
experienced,bomberman,4,Bomb,11,0,4.59,0.0,"[(48.0, 48.0), (44.3, 62.9), (44.3, 77.9), (44.3, 92.8), (51.7, 107.7), (64.8, 115.2), (64.8, 115.2), (64.8, 115.2), (64.8, 115.2), (64.8, 115.2), (64.8, 115.2), (64.8, 115.2), (64.8, 115.2), (64.8, 115.2), (64.8, 115.2), (64.8, 115.2), (64.8, 115.2), (64.8, 115.2), (64.8, 115.2), (64.8, 115.2), (64.8, 115.2), (64.8, 115.2), (64.8, 115.2), (64.8, 115.2), (64.8, 115.2), (64.8, 115.2), (64.8, 115.2), (53.6, 115.2), (44.3, 128.3), (44.3, 128.3), (44.3, 128.3), (44.3, 128.3), (44.3, 128.3), (44.3, 128.3), (44.3, 133.9), (44.3, 148.8), (46.1, 163.7), (57.3, 178.7), (72.3, 180.5), (87.2, 180.5), (94.7, 180.5), (94.7, 180.5), (94.7, 180.5), (94.7, 180.5), (94.7, 180.5), (94.7, 180.5), (94.7, 180.5), (94.7, 180.5), (94.7, 180.5), (94.7, 180.5), (94.7, 180.5), (94.7, 180.5), (94.7, 180.5), (94.7, 180.5), (94.7, 180.5), (94.7, 180.5), (94.7, 180.5), (94.7, 180.5), (94.7, 180.5), (94.7, 180.5), (94.7, 180.5), (94.7, 180.5), (94.7, 180.5), (94.7, 180.5), (98.4, 180.5), (113.3, 180.5), (128.3, 180.5), (128.3, 180.5), (135.7, 180.5), (154.4, 180.5), (161.9, 180.5), (161.9, 180.5), (146.9, 180.5), (132.0, 180.5), (117.1, 180.5), (102.1, 180.5), (94.7, 180.5), (94.7, 180.5), (94.7, 180.5), (94.7, 180.5), (94.7, 180.5), (94.7, 180.5), (94.7, 180.5), (94.7, 180.5), (94.7, 180.5), (94.7, 180.5), (94.7, 180.5), (94.7, 180.5), (94.7, 180.5), (94.7, 180.5), (94.7, 180.5), (94.7, 180.5), (94.7, 180.5), (94.7, 180.5), (98.4, 180.5), (113.3, 180.5), (115.2, 180.5), (115.2, 180.5)]",0,0,13.0
experienced,bomberman,4,Bomb,1,0,13.07,0.182,"[(48.0, 48.0), (62.9, 44.3), (77.9, 44.3), (92.8, 44.3), (107.7, 51.7), (122.7, 51.7), (137.6, 51.7), (158.1, 51.7), (174.9, 55.5), (180.5, 64.8), (180.5, 62.9), (180.5, 61.1), (180.5, 64.8), (180.5, 62.9), (180.5, 61.1), (180.5, 64.8), (180.5, 62.9), (180.5, 61.1), (180.5, 64.8), (180.5, 62.9), (180.5, 61.1), (180.5, 64.8), (180.5, 62.9), (180.5, 61.1), (180.5, 64.8), (180.5, 62.9), (180.5, 61.1), (180.5, 64.8), (180.5, 62.9), (180.5, 61.1), (180.5, 64.8), (180.5, 79.7), (180.5, 100.3), (186.1, 115.2), (201.1, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2)]",0,1,12.0
experienced,bomberman,4,Bomb,18,0,9.85,0.136,"[(48.0, 48.0), (62.9, 51.7), (72.3, 51.7), (79.7, 51.7), (87.2, 51.7), (94.7, 51.7), (107.7, 51.7), (122.7, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7), (128.3, 51.7)]",0,0,8.15
experienced,bomberman,4,Bomb,1,0,15.63,0.182,"[(48.0, 48.0), (62.9, 48.0), (77.9, 51.7), (92.8, 51.7), (107.7, 51.7), (122.7, 51.7), (137.6, 51.7), (158.1, 51.7), (174.9, 55.5), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9), (180.5, 62.9)]",0,0,8.0
experienced,bomberman,4,Bomb,1,0,19.6,0.182,"[(48.0, 48.0), (62.9, 44.3), (77.9, 44.3), (92.8, 44.3), (107.7, 51.7), (122.7, 51.7), (137.6, 51.7), (158.1, 51.7), (174.9, 55.5), (176.8, 64.8), (176.8, 64.8), (176.8, 64.8), (176.8, 64.8), (176.8, 64.8), (176.8, 64.8), (176.8, 64.8), (176.8, 64.8), (176.8, 64.8), (176.8, 64.8), (176.8, 64.8), (176.8, 64.8), (176.8, 64.8), (176.8, 64.8), (176.8, 64.8), (176.8, 64.8), (176.8, 64.8), (176.8, 64.8), (180.5, 76.0), (180.5, 96.5), (182.4, 111.5), (197.3, 111.5), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 109.6), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2)]",0,1,8.0
experienced,bomberman,4,Bomb,1,0,19.6,0.182,"[(48.0, 48.0), (62.9, 51.7), (77.9, 51.7), (92.8, 51.7), (107.7, 51.7), (122.7, 51.7), (137.6, 51.7), (158.1, 51.7), (174.9, 55.5), (180.5, 70.4), (180.5, 85.3), (180.5, 105.9), (191.7, 115.2), (206.7, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2), (212.3, 115.2)]",0,1,8.0
experienced,bomberman,4,Bomb,1,0,48.53,0.545,"[(48.0, 48.0), (62.9, 48.0), (77.9, 48.0), (92.8, 48.0), (107.7, 48.0), (122.7, 48.0), (137.6, 48.0), (152.5, 48.0), (167.5, 48.0), (182.4, 48.0), (197.3, 48.0), (212.3, 48.0), (227.2, 48.0), (242.1, 48.0), (257.1, 48.0), (272.0, 48.0), (286.9, 48.0), (301.9, 48.0), (316.8, 48.0), (331.7, 48.0), (346.7, 48.0), (361.6, 48.0), (376.5, 48.0), (391.5, 48.0), (406.4, 48.0), (417.6, 51.7), (417.6, 51.7), (417.6, 51.7), (417.6, 51.7), (417.6, 51.7), (417.6, 51.7), (432.5, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7)]",0,0,8.0
experienced,bomberman,4,Bomb,1,0,48.53,0.545,"[(48.0, 48.0), (62.9, 48.0), (77.9, 48.0), (92.8, 48.0), (107.7, 48.0), (122.7, 48.0), (137.6, 48.0), (152.5, 48.0), (167.5, 48.0), (182.4, 48.0), (197.3, 48.0), (212.3, 48.0), (227.2, 48.0), (242.1, 48.0), (257.1, 48.0), (272.0, 48.0), (286.9, 48.0), (301.9, 48.0), (316.8, 48.0), (331.7, 48.0), (346.7, 48.0), (361.6, 48.0), (376.5, 48.0), (391.5, 48.0), (406.4, 48.0), (417.6, 51.7), (417.6, 51.7), (417.6, 51.7), (417.6, 51.7), (417.6, 51.7), (417.6, 51.7), (432.5, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7), (436.3, 51.7)]",0,0,8.0
