persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,elapsed_time
speedrunner,meatboy,5,Saw,1,0,538.75,0.296,"[(73.0, 525.0), (120.3, 531.3), (200.3, 531.0), (280.3, 531.9), (360.3, 531.3)]",0,0.53
speedrunner,meatboy,5,Saw,0,0,511.76,0.299,"[(73.0, 525.0), (116.3, 531.3), (184.3, 531.0), (263.0, 531.9), (343.0, 531.3)]",0,0.57
speedrunner,meatboy,5,Saw,7,0,538.75,0.296,"[(73.0, 525.0), (120.3, 527.1), (200.3, 522.4), (280.3, 527.1), (360.3, 522.4)]",0,0.53
speedrunner,meatboy,5,Saw,12,0,13.71,0.295,"[(73.0, 525.0), (63.6, 521.3), (60.4, 514.2), (49.3, 526.0), (49.9, 516.1), (54.3, 518.5), (58.2, 531.9), (60.2, 531.3), (62.2, 531.0), (64.2, 531.9), (66.2, 531.3), (68.2, 531.0), (70.2, 531.9), (72.2, 531.3), (74.2, 531.0), (76.2, 531.9), (78.2, 531.3), (80.2, 531.0), (82.2, 531.9), (84.2, 531.3), (86.2, 531.0), (88.2, 531.9), (90.2, 531.3), (92.2, 531.0), (94.2, 531.9), (96.2, 531.3), (98.2, 531.0), (100.2, 531.9), (102.2, 531.3), (104.2, 531.0), (106.2, 531.9), (108.2, 531.3), (110.2, 531.0), (112.2, 531.9), (114.2, 531.3), (116.2, 531.0), (118.2, 531.9), (120.2, 531.3), (122.2, 531.0), (124.2, 531.9), (126.2, 531.3), (128.2, 531.0), (130.2, 531.9), (132.2, 531.3), (134.2, 531.0), (136.2, 531.9), (138.2, 531.3), (140.2, 531.0), (142.2, 531.9), (144.2, 531.3), (146.2, 531.0), (148.2, 531.9), (150.2, 531.3), (152.2, 531.0), (154.2, 531.9), (156.2, 531.3), (158.2, 531.0), (160.2, 531.9), (162.2, 531.3), (164.2, 531.0), (166.2, 531.9), (168.2, 531.3), (170.2, 531.0), (172.2, 531.9), (174.2, 531.3), (176.2, 531.0), (178.2, 531.9), (180.2, 531.3), (182.2, 531.0), (184.2, 531.9), (186.2, 531.3), (188.2, 531.0), (190.2, 531.9), (192.2, 531.3), (194.2, 531.0), (196.2, 531.9), (198.2, 531.3), (200.2, 531.0), (202.2, 531.9), (204.2, 531.3), (206.2, 531.0), (208.2, 531.9), (210.2, 531.3), (212.2, 531.0), (214.2, 531.9), (216.2, 531.3), (218.2, 531.0), (220.2, 531.9), (222.2, 531.3), (224.2, 531.0), (226.2, 531.9), (228.2, 531.3), (230.2, 531.0), (232.2, 531.9), (234.2, 531.3), (236.2, 531.0), (238.2, 531.9), (240.2, 531.3), (242.2, 531.0), (244.2, 531.9), (246.2, 531.3), (248.2, 531.0), (250.2, 531.9), (252.2, 531.3), (254.2, 531.0), (256.2, 531.9), (258.2, 531.3), (260.2, 531.0), (262.2, 531.9), (264.2, 531.3), (266.2, 531.0), (268.2, 531.9), (270.2, 531.3), (272.2, 531.0), (274.2, 531.9), (276.2, 531.3), (278.2, 531.0), (280.2, 531.9), (282.2, 531.3), (284.2, 531.0), (286.2, 531.9), (288.2, 531.3), (290.2, 531.0), (292.2, 531.9), (294.2, 531.3), (296.2, 531.0), (298.2, 531.9), (300.2, 531.3), (302.2, 531.0), (304.2, 531.9), (306.2, 531.3), (308.2, 531.0), (310.2, 531.9), (312.2, 531.3), (314.2, 531.0), (316.2, 531.9), (318.2, 531.3), (320.2, 531.0), (322.2, 531.9), (324.2, 531.3), (326.2, 531.0), (328.2, 531.9), (330.2, 531.3), (332.2, 531.0), (334.2, 531.9), (336.2, 531.3), (338.2, 531.0), (340.2, 531.9), (342.2, 531.3), (344.2, 531.0), (346.2, 531.9), (348.2, 531.3), (350.2, 531.0), (352.2, 531.9), (354.2, 531.3), (356.2, 531.0), (358.2, 531.9)]",0,20.87
speedrunner,meatboy,5,Stuck,57,0,41.36,0.415,"[(73.0, 525.0), (120.3, 516.1), (200.3, 467.4), (280.3, 437.5), (360.3, 426.5), (440.3, 434.4), (520.3, 461.1), (527.7, 460.1), (428.5, 400.4), (368.2, 385.0), (360.7, 392.1), (427.7, 418.1), (507.7, 462.8), (553.7, 508.1), (450.0, 443.7), (383.3, 403.7), (363.2, 399.0), (415.7, 413.2), (495.7, 446.2), (567.0, 498.0), (461.8, 431.3), (389.5, 393.4), (362.5, 391.1), (405.7, 407.6), (485.7, 442.9), (563.1, 497.1), (473.7, 445.8), (395.7, 395.6), (363.1, 386.2), (395.7, 395.6), (475.7, 423.9), (553.1, 471.0), (505.0, 433.9), (450.3, 388.6), (446.0, 383.9), (513.3, 398.1), (546.3, 402.6), (469.5, 355.9), (432.5, 353.6), (465.8, 370.1), (545.8, 405.4), (515.3, 379.6), (450.0, 355.3), (435.0, 360.0), (495.8, 383.6), (567.0, 426.0), (485.8, 364.4), (437.5, 357.4), (449.5, 369.2), (525.8, 399.8), (536.0, 401.3), (462.1, 362.1), (432.0, 362.1), (475.8, 380.9), (555.8, 418.7), (505.0, 379.2), (445.3, 362.4), (438.5, 369.4), (505.8, 395.4), (556.7, 424.2), (477.0, 370.0), (434.3, 365.3), (457.0, 379.5), (535.8, 412.5), (525.7, 400.3), (459.7, 362.2), (444.1, 362.3), (504.5, 381.1), (556.7, 403.7), (479.5, 355.5), (441.8, 353.2), (474.5, 369.7), (554.5, 405.1), (505.0, 365.0)]",0,9.73
speedrunner,meatboy,5,Pit,0,0,-101.15,0.0,"[(73.0, 525.0), (65.0, 531.3), (1.7, 531.0), (-36.7, 541.6), (-9.0, 571.0), (-9.0, 610.7), (-14.3, 661.0)]",0,0.92
speedrunner,meatboy,5,Saw,3,0,538.75,0.296,"[(73.0, 525.0), (120.3, 527.1), (200.3, 522.4), (280.3, 531.3), (360.3, 531.0)]",0,0.53
speedrunner,meatboy,5,Saw,0,0,538.75,0.296,"[(73.0, 525.0), (120.3, 531.3), (200.3, 531.0), (280.3, 531.9), (360.3, 531.3)]",0,0.53
speedrunner,meatboy,5,Pit,6,0,-60.68,0.011,"[(73.0, 525.0), (60.4, 531.3), (7.1, 531.0), (-15.2, 535.4), (-17.0, 557.8), (-17.0, 599.0), (-9.0, 649.2), (7.1, 697.2)]",0,0.98
speedrunner,meatboy,5,Stuck,17,0,-16.02,0.0,"[(73.0, 525.0), (65.0, 521.3), (56.7, 514.2), (53.7, 526.0), (33.7, 520.1), (19.7, 515.4), (12.2, 529.5), (4.9, 515.5), (0.6, 517.9), (-2.9, 526.9), (-3.2, 522.2), (-4.6, 526.9), (-7.4, 522.2), (-7.4, 521.2), (-7.4, 514.1), (-7.4, 525.9), (-7.4, 516.0), (-7.4, 518.4), (-7.4, 521.1), (-7.4, 514.0), (-7.4, 525.8), (-7.4, 515.9), (-7.4, 518.3), (-7.4, 521.1), (-7.4, 514.0), (-7.4, 525.8), (-7.4, 515.9), (-7.4, 518.3), (-7.4, 521.1), (-7.4, 514.0), (-7.4, 525.8), (-7.4, 515.9), (-7.4, 518.3), (-7.4, 521.1), (-7.4, 514.0), (-7.4, 525.8), (-7.4, 515.9), (-7.4, 518.3)]",0,5.02
