persona,game,world,cause_of_death,jump_count,coins_collected,avg_vx,progress_ratio,route,enemies_killed,elapsed_time
novice,meatboy,2,Pit,7,0,218.23,0.535,"[(105.0, 269.0), (117.1, 260.1), (128.0, 243.7), (145.7, 250.8), (174.9, 275.0), (188.3, 246.0), (213.2, 246.0), (243.2, 264.9), (269.3, 250.9), (288.4, 243.8), (316.8, 255.6), (349.8, 267.6), (369.5, 244.2), (402.6, 249.0), (442.6, 272.6), (475.4, 247.3), (514.7, 245.0), (554.7, 261.5), (594.7, 296.9), (634.7, 351.1), (674.7, 424.1), (714.7, 516.0)]",0,2.82
novice,meatboy,2,Pit,4,0,292.82,0.528,"[(105.0, 269.0), (130.2, 260.1), (170.2, 243.7), (210.2, 250.8), (250.2, 275.0), (290.2, 275.9), (330.2, 275.3), (370.2, 275.0), (410.2, 275.9), (450.2, 253.1), (490.2, 243.7), (530.2, 253.1), (570.2, 281.4), (610.2, 328.5), (650.2, 394.5), (690.2, 479.3)]",0,2.07
novice,meatboy,2,Pit,1,0,66.25,0.362,"[(105.0, 269.0), (102.2, 275.3), (126.4, 275.0), (145.3, 275.9), (153.8, 275.3), (160.2, 275.0), (169.5, 275.9), (176.5, 275.3), (182.9, 275.0), (192.2, 275.9), (199.2, 275.3), (205.6, 275.0), (214.8, 275.9), (221.8, 275.3), (228.2, 275.0), (237.5, 275.9), (244.5, 275.3), (250.9, 275.0), (260.2, 275.9), (267.2, 275.3), (273.6, 275.0), (282.8, 275.9), (289.8, 275.3), (296.2, 275.0), (305.5, 275.9), (312.5, 275.3), (318.9, 275.0), (328.2, 275.9), (335.2, 275.3), (341.6, 275.0), (350.8, 275.9), (357.8, 275.3), (364.2, 275.0), (373.5, 275.9), (380.5, 275.3), (386.9, 275.0), (396.2, 275.9), (408.3, 275.3), (447.7, 275.0), (485.9, 285.6), (505.5, 315.0), (517.8, 363.3), (511.4, 430.5), (488.4, 516.4)]",0,5.75
novice,meatboy,2,Pit,0,0,-286.52,0.0,"[(105.0, 269.0), (79.8, 275.3), (39.8, 275.0), (-0.2, 275.9), (-40.2, 283.2), (-80.2, 310.3), (-120.2, 356.3), (-160.2, 421.0), (-200.2, 504.7)]",0,1.1
novice,meatboy,2,Pit,6,0,223.01,0.545,"[(105.0, 269.0), (117.1, 260.1), (128.0, 243.7), (145.7, 250.8), (174.9, 275.0), (188.3, 246.0), (213.2, 246.0), (243.2, 264.9), (269.3, 250.9), (295.7, 243.8), (324.0, 255.6), (357.1, 267.6), (376.8, 244.2), (409.9, 249.0), (449.9, 272.6), (488.1, 247.3), (528.1, 245.0), (568.1, 261.5), (608.1, 296.9), (648.1, 351.1), (688.1, 424.1), (728.1, 516.0)]",0,2.82
novice,meatboy,2,Pit,4,0,292.82,0.528,"[(105.0, 269.0), (130.2, 260.1), (170.2, 243.7), (210.2, 250.8), (250.2, 275.0), (290.2, 275.9), (330.2, 275.3), (370.2, 275.0), (410.2, 275.9), (450.2, 253.1), (490.2, 243.7), (530.2, 253.1), (570.2, 281.4), (610.2, 328.5), (650.2, 394.5), (690.2, 479.3)]",0,2.07
novice,meatboy,2,Pit,5,0,253.39,0.506,"[(105.0, 269.0), (126.8, 260.1), (149.8, 243.7), (179.5, 250.8), (216.6, 275.0), (245.7, 258.0), (283.7, 265.1), (314.2, 260.2), (333.1, 243.8), (368.6, 250.9), (407.3, 275.0), (439.4, 246.0), (479.4, 246.0), (519.4, 264.9), (559.4, 302.6), (599.4, 359.2), (639.4, 434.6), (679.4, 528.8)]",0,2.27
novice,meatboy,2,Pit,2,0,292.05,0.484,"[(105.0, 269.0), (130.2, 260.1), (170.2, 243.7), (210.2, 250.8), (250.2, 275.0), (290.2, 275.9), (330.2, 275.3), (370.2, 275.0), (410.2, 275.9), (450.2, 275.3), (490.2, 288.2), (530.2, 320.1), (570.2, 370.7), (610.2, 440.2), (650.2, 528.5)]",0,1.87
novice,meatboy,2,Stuck,2,0,15.08,0.139,"[(105.0, 269.0), (117.1, 260.1), (128.0, 243.7), (150.5, 250.8), (182.2, 275.0), (187.2, 275.9), (187.2, 275.3), (187.2, 275.0), (187.2, 275.9), (187.2, 275.3), (187.2, 275.0), (187.2, 275.9), (187.2, 275.3), (187.2, 275.0), (187.2, 275.9), (187.2, 275.3), (187.2, 275.0), (187.2, 275.9), (187.2, 275.3), (187.2, 275.0), (187.2, 275.9), (187.2, 275.3), (187.2, 275.0), (187.2, 275.9), (187.2, 275.3), (187.2, 275.0), (187.2, 275.9), (187.2, 275.3), (187.2, 275.0), (187.2, 275.9), (187.2, 275.3), (187.2, 275.0), (187.2, 275.9), (187.2, 275.3), (187.2, 275.0), (187.2, 275.9), (187.2, 275.3), (187.2, 275.0), (187.2, 275.9), (187.2, 275.3), (187.2, 275.0)]",0,5.45
novice,meatboy,2,Pit,1,0,-286.52,0.0,"[(105.0, 269.0), (79.8, 275.3), (39.8, 275.0), (-0.2, 275.9), (-40.2, 283.2), (-80.2, 310.3), (-120.2, 356.3), (-160.2, 421.0), (-200.2, 504.7)]",0,1.1
